combination_id,replication,arrival_rate,eq_mecanica_capacity,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Triagem_queue_time,Triagem_service_time,Manutencao_Eletrica_queue_time,Manutencao_Eletrica_service_time,Lanternagem_queue_time,Lanternagem_service_time,Manutencao_Mecanica_queue_time,Manutencao_Mecanica_service_time,funcionario_utilization,funcionario_avg_queue,funcionario_max_queue,eq_eletrica_utilization,eq_eletrica_avg_queue,eq_eletrica_max_queue,eq_mecanica_utilization,eq_mecanica_avg_queue,eq_mecanica_max_queue,eq_lantern_utilization,eq_lantern_avg_queue,eq_lantern_max_queue
0,0,1.0,1,2080,40,1030,0.5049019607843137,11.243740196100761,0.009471746954291397,0.16993153141915235,1.0066353801088441,2.378621449101265,19.751566579881242,5.3175299184379625,1.032177543427765,3.742541526272785,0.08611619627652307,0.0004368089108583838,2,0.3081455833670255,0.058093913417413455,4,0.5262867979412283,0.16532576374403188,5,0.8108690899160621,2.748315835149956,17
0,1,1.0,1,2080,40,1000,0.49019607843137253,10.054147202090274,0.007809282783836082,0.16999288283174382,1.1085016723981806,2.453660873765129,14.618780723181363,5.568709467369042,2.080046188697113,3.731471487903551,0.08349390040306084,0.0007291380305361336,2,0.31151870897312217,0.07328943890894159,4,0.5282907593317475,0.45784172636241904,11,0.7559172211570632,1.6037841495051972,10
0,2,1.0,1,2080,40,1011,0.49558823529411766,10.104564618162394,0.009051930873033107,0.16994493351566145,1.3468702598857996,2.619474822256248,14.053695144935801,5.37265989338801,1.7853062903047952,4.034264342052358,0.08433510579643193,0.0006462023773712987,3,0.31074162107157466,0.08251560509787349,5,0.5902533239313076,0.38394052161304454,10,0.7655204845373631,1.6601530799041222,15
0,3,1.0,1,2080,40,1026,0.5029411764705882,8.90283176356326,0.007293063212300889,0.1691915436344162,1.6184433733138823,2.680015518474703,8.350342008544414,4.7465097604206266,2.744509327485493,3.8974655157011155,0.08501649978437217,0.0005238954314450541,3,0.32040698507741944,0.10144626827380959,5,0.5828614967858263,0.664708360996365,11,0.6820067994761358,0.9202802383385076,8
0,4,1.0,1,2080,40,1086,0.5323529411764706,10.69835154117436,0.008799868561941569,0.1700069101051633,1.2060604112060695,2.4806211414002495,17.383661982213408,4.94859869288573,1.9023412989351107,3.703148757442053,0.091518478644942,0.0007259279585904703,2,0.35892807187494036,0.08051407171069452,4,0.56320101399264,0.44909021876187466,8,0.7570492294788276,2.5132938069201605,14
1,0,1.0,2,2080,40,1024,0.5019607843137255,10.556487290458861,0.008938586011476832,0.17049248759135538,1.5037757056603114,2.5741217488415065,16.03807786455872,5.23543507246423,1.216816476835433,3.586026400862135,0.08551064158657179,0.0006391465821602194,2,0.3250707442258654,0.11281633138169775,5,0.49735756616354587,0.2302630387218445,9,0.8188929680033357,2.1788184174507923,15
1,1,1.0,2,2080,40,1014,0.4970588235294118,11.207461905285975,0.011077062743793524,0.17024256833705492,1.4486199082824214,2.6668779715465285,15.100576589327302,4.710268850113899,2.1871778584206747,4.086407456610231,0.08477745000808894,0.0008937902983018152,2,0.3117952289679386,0.08629013958140337,3,0.5672581817139123,0.4622875651272222,9,0.7764217617213431,2.1380196810799252,11
1,2,1.0,2,2080,40,1007,0.4936274509803922,7.228967654217565,0.006480981481286029,0.16893378627741595,1.3957492191972618,2.504615113604128,7.597736909640363,4.786266315320297,0.6785704655411477,3.5039149125178186,0.08320698446368813,0.0005386425934280978,2,0.32658216677387153,0.09624599010054821,5,0.47593566265833104,0.10142804731849488,6,0.7080480589287624,0.8267854482932917,7
1,3,1.0,2,2080,40,1021,0.5004901960784314,9.23385639275259,0.008655995599917988,0.16947915760045942,1.0853455721674514,2.6853806002773983,11.771753530818806,4.941024240746632,1.64508450210906,3.7292689409656625,0.08466171175422685,0.0005124257745718836,2,0.3567343836643009,0.05737901406536395,4,0.5113574773692241,0.3247982351113049,9,0.7543171001789759,1.4699120891446253,10
1,4,1.0,2,2080,40,1017,0.4985294117647059,7.628508556539495,0.006618272914707025,0.17011969553119494,0.9793701626764836,2.4228639531941374,6.826377423641449,4.781507546143414,1.6222152906338883,3.9985390669199425,0.08605056833953424,9.664615966415773e-05,2,0.2883011548937967,0.03291630637460559,5,0.567315957469555,0.3171228977631183,8,0.7304125891075655,1.0506399149763321,12
