combination_id,replication,arrival_rate,num_doctors,num_nurses,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Consultation_queue_time,Consultation_service_time,Pharmacy_queue_time,Pharmacy_service_time,Triage_queue_time,Triage_service_time,nursesT_utilization,nursesT_avg_queue,nursesT_max_queue,doctors_utilization,doctors_avg_queue,doctors_max_queue,nurses_utilization,nurses_avg_queue,nurses_max_queue,pharmacy_utilization,pharmacy_avg_queue,pharmacy_max_queue
0,0,3,3,2,2400,420,507,0.25606060606060604,19.845606759197793,2.054753854156603,9.725468350605768,1.2617996986515534,5.0087491615184945,1.9661745285478893,2.4966161327980942,0.6318833722615242,0.5700854272149017,12,0.5380727932683816,0.13242127883901728,5,0.6779522820784653,0.25085560567714743,6,0.585436916420774,0.33776462506574495,14
0,1,3,3,2,2400,420,486,0.24545454545454545,19.192738328305747,0.9863482139553235,10.183123699265009,1.9881397008571255,4.91037080693959,1.7524287605834175,2.5053524824812543,0.6175790825017443,0.549404083789464,12,0.5019646442571357,0.013741236588822231,3,0.646892833973128,0.08092131169797928,4,0.5545037670805084,0.6220272900989227,16
0,2,3,3,2,2400,420,495,0.25,21.61466935044094,1.409480065326841,10.04221378860967,3.089153072086684,4.990989995077661,1.9687927000344934,2.510305952170473,0.6262406614873514,0.6766555174099989,10,0.5499015509728138,0.03505589825262369,3,0.6972642673072206,0.1428693002222178,4,0.5829749954301845,1.0824792884950938,18
0,3,3,3,2,2400,420,467,0.23585858585858585,20.26327094776359,1.4207708219254656,10.013236935060318,2.2183944178824686,5.078328142441715,1.8934505227467948,2.485351715704724,0.5928041713334024,0.59535436896561,10,0.5012264932532549,0.05246058130155327,4,0.6352649323549584,0.15157175724969804,5,0.5503749160173065,0.7038965539662151,16
0,4,3,3,2,2400,420,470,0.23737373737373738,19.403889610565738,1.0026347025989348,10.03473488482709,1.7770233583345398,4.767844311148513,2.008602523855449,2.4931572161110243,0.5918106665872686,0.6732314602512807,14,0.4968172570950705,0.013405848135485282,3,0.6425684819182034,0.07296943076115742,4,0.5201957630326832,0.5415818978211464,18
1,0,3,3,3,2400,420,497,0.251010101010101,20.18250958805109,1.28057834826433,10.033068692153755,1.9015509480245723,5.103614830675657,1.9149727929448839,2.4972805743412163,0.6290469082838872,0.6405404653387115,10,0.5376701433553632,0.031241709460193254,3,0.6812836913554866,0.13807120881518606,4,0.6041424966769139,0.5624376521125589,12
1,1,3,3,3,2400,420,452,0.22828282828282828,20.031377734575067,1.569033271693297,10.323900626869873,1.6972663179211471,5.094192702080632,1.842139651529515,2.522875734791845,0.5792426869122914,0.5556617080935083,12,0.49237391582135265,0.04392317727499372,4,0.6197263186152796,0.15423988471456568,5,0.542011862201954,0.4635522369090217,12
1,2,3,3,3,2400,420,496,0.2505050505050505,20.989504916911464,1.300656726797997,9.734027486812678,2.5343092166282633,5.136096598311602,1.8230307523223124,2.5067805123131066,0.6288634941385254,0.5888252667100172,12,0.554992587218606,0.019592391789734733,2,0.7030207605082089,0.1305004591395342,3,0.5989399267212827,0.8475168533683998,20
1,3,3,3,3,2400,420,517,0.2611111111111111,21.23946472574617,1.9913589195650643,9.915731247323368,2.601530777803285,5.2215323479684175,1.889357564643787,2.5204326202383687,0.6530431347971881,0.6036461745000902,12,0.5517758023747813,0.13585048078753928,5,0.6927323576344969,0.2647566173831758,6,0.6265235457756898,0.89582491365948,16
1,4,3,3,3,2400,420,524,0.26464646464646463,19.73593232451947,2.004296776676939,9.802571847054196,1.2649274212682686,4.5792946059663,2.7713878547204835,2.4839388635613187,0.6596942895910515,1.0985814344164722,18,0.5494529143648664,0.09049294588734927,4,0.682400681057956,0.24110256017294726,5,0.5394326650161156,0.354271653684334,10
2,0,3,3,4,2400,420,501,0.25303030303030305,21.27872291671666,2.2349985537905392,9.96754668377672,2.467843258915127,5.095872687575589,2.050214902039899,2.504191153245736,0.6309138660756528,0.6929461327922479,12,0.5459661508428187,0.1221975894565025,4,0.6746228643535943,0.28219359976699576,5,0.5797094188132712,0.8400929095106172,14
2,1,3,3,4,2400,420,474,0.23939393939393938,21.870151828016706,2.497497829627049,10.179721332488542,2.6718910916892122,5.122607865029493,1.8399490415163262,2.497905490359595,0.5961784962688468,0.5842587296611238,12,0.5312475416802077,0.17025300576650557,5,0.6557735612425879,0.32792248875957214,6,0.5659604502713682,0.8912752638412441,20
2,2,3,3,4,2400,420,499,0.25202020202020203,23.212396065009138,2.5915100821360366,10.201277062694079,2.3015740710836416,5.412990719517303,2.9495343297862338,2.512726377018685,0.6344117179465234,1.1427723493341737,18,0.596177100465261,0.1487544827836553,4,0.7273488083035263,0.35141645973411517,5,0.6167952996837948,0.7019105634251105,14
2,3,3,3,4,2400,420,485,0.24494949494949494,19.581596826246187,0.9527968239666568,9.919822883302407,2.3996464932109873,5.071327916921757,1.6851760683312973,2.4879174557722874,0.6153448428787164,0.5625830190564284,10,0.4894754989288526,0.005467936235680495,2,0.6306864263526571,0.07131065289311887,3,0.5873765441066766,0.7890096486578689,18
