entities_processed,system_time_avg,average_wip,max_wip,final_wip,system_time_avg_detailed,system_time_std,system_time_min,system_time_max,Operacao_queue_time,Operacao_service_time,Operacao_system_time,Manutencao_queue_time,Manutencao_service_time,Manutencao_system_time,Equipes_utilization,Equipes_avg_queue,Equipes_avg_in_service,Equipes_max_queue,DisposeDecision_Dispose_Yes_percentage,DisposeDecision_Dispose_No_percentage,total_revenue,total_costs,net_profit,avg_revenue_per_entity,avg_cost_per_entity,avg_profit_per_entity,Manutencao_total_cost
3,486565.4133537882,2.757247595483758,3,0,486565.4133537882,9042.592187206461,474471.8490904877,496212.47155169456,0,16487.68537075213,16487.68537075213,0.0,496.2124830371606,496.2124830371606,0.6227692588901274,0.15505921511051204,0.6227692588901274,2,1.3274336283185841,98.67256637168141,1630.0805738932177,433.0662062630501,1197.0143676301675,543.3601912977392,144.35540208768336,399.00478921005583,433.0662062630501
3,479384.35759542143,2.7125892885287404,3,0,479384.35759542143,1331.0746542592492,478049.4981618114,481201.2447156102,0,7258.264035521605,7258.264035521605,1463.0063287607627,2363.30915534666,3826.315484107423,0.6002101394753562,0.1725996577700849,0.6002101394753562,2,1.3513513513513513,98.64864864864865,1668.0334450941846,340.76210139269284,1327.2713437014918,556.0111483647282,113.58736713089762,442.4237812338306,340.76210139269284
3,474180.5478253626,2.68022728747116,3,0,474180.54782536253,617.6806463616982,473613.4049284243,475039.4937363985,0,4272.465095091477,4272.465095091477,796.7994865431489,970.2152657168233,1767.0147522599723,0.6010518369045322,0.17765809845046515,0.6010518369045322,2,1.3888888888888888,98.61111111111111,1641.7655795289556,456.08729084829537,1185.6782886806602,547.2551931763186,152.0290969494318,395.22609622688674,456.08729084829537
3,475487.1451224076,2.6883528925522864,3,0,475487.14512240764,1087.2964063966724,474162.79186137434,476825.9948963529,0,2722.2431319874854,2722.2431319874854,1865.4257445373805,2466.806847086336,4332.232591623717,0.5963031339969351,0.1424839073656805,0.5963031339969351,2,1.3100436681222707,98.68995633187772,1440.3920123855537,463.35703171092007,977.0349806746336,480.1306707951846,154.45234390364,325.67832689154454,463.35703171092007
3,476547.47850624635,2.69494700563586,3,0,476547.47850624635,2278.648408376541,474094.0332410697,479583.56915048463,0,6458.132828561162,6458.132828561162,189.33503004109176,1540.9723900075558,1730.3074200486476,0.6267316031496245,0.15205142379576286,0.6267316031496245,2,1.4705882352941175,98.52941176470588,1464.361593357273,444.5843728394892,1019.7772205177838,488.120531119091,148.1947909464964,339.9257401725946,444.5843728394892
3,478329.9923695591,2.7060322908554673,3,0,478329.9923695591,4467.3021248262485,473391.9450824374,484211.77869961434,0,5295.640494593408,5295.640494593408,1092.1743692678672,2639.722506232982,3731.896875500849,0.6032440560339142,0.14249224139603978,0.6032440560339142,2,1.4354066985645932,98.56459330143541,1537.0358999861855,478.89406157139604,1058.1418384147896,512.3452999953952,159.631353857132,352.7139461382632,478.89406157139604
3,473854.4251866158,2.6781991616083074,3,0,473854.4251866157,823.5166319217217,473155.64176094823,475010.69096495595,0,6451.758105197257,6451.758105197257,1195.5170326083123,1865.9594724465378,3061.47650505485,0.5423325102357529,0.044262492020806746,0.5423325102357529,2,1.2605042016806722,98.73949579831933,1625.4127941815657,494.2975751017936,1131.115219079772,541.8042647271885,164.76585836726454,377.038406359924,494.2975751017936
3,477321.8553163652,2.6997627818181913,3,0,477321.85531636514,2689.9170254739965,473632.57196084573,479969.84725890215,0,5129.539226824812,5129.539226824812,9.876309618741894,1281.2544642876062,1291.1307739063482,0.602623288845891,0.11733916403597944,0.602623288845891,2,1.36986301369863,98.63013698630137,1475.160939404626,424.5425372169176,1050.6184021877084,491.72031313487537,141.51417907230586,350.20613406256945,424.5425372169176
3,474873.5007307621,2.684536696086829,3,0,474873.5007307621,1503.8770955103669,473591.4621021668,476984.1295828939,0,5899.8636089668125,5899.8636089668125,592.380116260921,1416.916472167589,2009.29658842851,0.5646508754855676,0.10090750448831845,0.5646508754855676,2,1.3392857142857142,98.66071428571429,1496.8105062474833,326.5819393998826,1170.2285668476006,498.9368354158278,108.86064646662753,390.07618894920023,326.5819393998826
3,484817.40498424,2.7463768966681594,3,0,484817.40498424,8393.947985951545,477585.8830970127,496585.85643971566,0,13167.623967672482,13167.623967672482,0.0,1910.8481985909636,1910.8481985909636,0.5762888874321608,0.09641841448348605,0.5762888874321608,2,1.3636363636363635,98.63636363636363,1505.2812518529358,520.5007879476133,984.7804639053226,501.7604172843119,173.50026264920442,328.26015463510754,520.5007879476133
3,481617.43360677635,2.726476577156569,3,0,481617.4336067764,7304.720028432169,475933.8039283374,491929.9021857594,0,8480.964254029455,8480.964254029455,702.7736897152694,4445.949035331891,5148.72272504716,0.5963125071204578,0.1387934177912509,0.5963125071204578,2,1.3513513513513513,98.64864864864865,1538.7538075089724,509.5949834674126,1029.15882404156,512.9179358363241,169.86499448913753,343.0529413471866,509.5949834674126
3,480966.914858585,2.722431062553389,3,0,480966.914858585,1653.604876196344,478891.6372802951,482938.11181927356,0,4649.508967759305,4649.508967759305,4311.505500657698,3586.636633227193,7898.14213388489,0.6192307142788955,0.13509892983569727,0.6192307142788955,2,1.3824884792626728,98.61751152073732,1717.642847777389,525.5761209051616,1192.0667268722275,572.5476159257963,175.19204030172054,397.3555756240758,525.5761209051616
